Sample in Buffer,Sample in Window,TRIGGER,input_x0[31:0],output_x0[31:0]
517,517,0,8214,0
518,518,0,6167,0
519,519,0,4115,0
520,520,0,2059,0
521,521,0,0,0
522,522,0,-2059,0
523,523,0,-4115,0
524,524,0,-6167,0
525,525,0,-8214,0
526,526,0,-10252,0
527,527,0,-12280,0
528,528,0,-14296,0
529,529,0,-16298,0
530,530,0,-18284,0
531,531,0,-20252,0
532,532,0,-22200,0
533,533,0,-24125,0
534,534,0,-26027,0
535,535,0,-27904,0
536,536,0,-29753,0
537,537,0,-31572,0
538,538,0,-33361,0
539,539,0,-35116,0
540,540,0,-36837,0
541,541,0,-38521,0
542,542,0,-40167,0
543,543,0,-41774,0
544,544,0,-43340,0
545,545,0,-44862,0
546,546,0,-46341,0
547,547,0,-47774,0
548,548,0,-49159,0
549,549,0,-50496,0
550,550,0,-51784,0
551,551,0,-53020,0
552,552,0,-54204,0
553,553,0,-55334,0
554,554,0,-56410,0
555,555,0,-57430,0
556,556,0,-58393,0
557,557,0,-59299,0
558,558,0,-60146,0
559,559,0,-60934,0
560,560,0,-61662,0
561,561,0,-62328,0
562,562,0,-62934,0
563,563,0,-63477,0
564,564,0,-63958,0
565,565,0,-64375,0
566,566,0,-64729,0
567,567,0,-65019,0
568,568,0,-65245,0
569,569,0,-65407,0
570,570,0,-65504,0
571,571,0,-65536,0
572,572,0,-65504,0
573,573,0,-65407,0
574,574,0,-65245,0
575,575,0,-65019,0
576,576,0,-64729,0
577,577,0,-64375,0
578,578,0,-63958,0
579,579,0,-63477,0
580,580,0,-62934,0
581,581,0,-62328,0
582,582,0,-61662,0
583,583,0,-60934,0
584,584,0,-60146,0
585,585,0,-59299,0
586,586,0,-58393,0
587,587,0,-57430,0
588,588,0,-56410,0
589,589,0,-55334,0
590,590,0,-54204,0
591,591,0,-53020,0
592,592,0,-51784,0
593,593,0,-50496,0
594,594,0,-49159,0
595,595,0,-47774,0
596,596,0,-46341,0
597,597,0,-44862,0
598,598,0,-43340,0
599,599,0,-41774,0
600,600,0,-40167,0
601,601,0,-38521,0
602,602,0,-36837,0
603,603,0,-35116,0
604,604,0,-33361,0
605,605,0,-31572,0
606,606,0,-29753,0
607,607,0,-27904,0
608,608,0,-26027,0
609,609,0,-24125,0
610,610,0,-22200,0
611,611,0,-20252,0
612,612,0,-18284,0
613,613,0,-16298,0
614,614,0,-14296,0
615,615,0,-12280,0
616,616,0,-10252,0
617,617,0,-8214,0
618,618,0,-6167,0
619,619,0,-4115,0
620,620,0,-2059,0
621,621,0,0,0
622,622,0,2059,0
623,623,0,4115,0
624,624,0,6167,0
625,625,0,8214,0
626,626,0,10252,0
627,627,0,12280,0
628,628,0,14296,0
629,629,0,16298,0
630,630,0,18284,0
631,631,0,20252,0
632,632,0,22200,0
633,633,0,24125,0
634,634,0,26027,0
635,635,0,27904,0
636,636,0,29753,0
637,637,0,31572,0
638,638,0,33361,0
639,639,0,35116,0
640,640,0,36837,0
641,641,0,38521,0
642,642,0,40167,0
643,643,0,41774,0
644,644,0,43340,0
645,645,0,44862,0
646,646,0,46341,0
647,647,0,47774,0
648,648,0,49159,0
649,649,0,50496,0
650,650,0,51784,0
651,651,0,53020,0
652,652,0,54204,0
653,653,0,55334,0
654,654,0,56410,0
655,655,0,57430,0
656,656,0,58393,0
657,657,0,59299,0
658,658,0,60146,0
659,659,0,60934,0
660,660,0,61662,0
661,661,0,62328,0
662,662,0,62934,0
663,663,0,63477,0
664,664,0,63958,0
665,665,0,64375,0
666,666,0,64729,0
667,667,0,65019,0
668,668,0,65245,0
669,669,0,65407,0
670,670,0,65504,0
671,671,0,65536,0
672,672,0,65504,0
673,673,0,65407,0
674,674,0,65245,0
675,675,0,65019,0
676,676,0,64729,0
677,677,0,64375,0
678,678,0,63958,0
679,679,0,63477,0
680,680,0,62934,0
681,681,0,62328,0
682,682,0,61662,0
683,683,0,60934,0
684,684,0,60146,0
685,685,0,59299,0
686,686,0,58393,0
687,687,0,57430,0
688,688,0,56410,0
689,689,0,55334,0
690,690,0,54204,0
691,691,0,53020,0
692,692,0,51784,0
693,693,0,50496,0
694,694,0,49159,0
695,695,0,47774,0
696,696,0,46341,0
697,697,0,44862,0
698,698,0,43340,0
699,699,0,41774,0
700,700,0,40167,0
701,701,0,38521,0
702,702,0,36837,0
703,703,0,35116,0
704,704,0,33361,0
705,705,0,31572,0
706,706,0,29753,0
707,707,0,27904,0
708,708,0,26027,0
709,709,0,24125,0
710,710,0,22200,0
711,711,0,20252,0
712,712,0,18284,0
713,713,0,16298,0
714,714,0,14296,0
715,715,0,12280,0
716,716,0,10252,0
717,717,0,8214,0
718,718,0,6167,0
719,719,0,4115,0
720,720,0,2059,0
721,721,0,0,0
722,722,0,-2059,0
723,723,0,-4115,0
724,724,0,-6167,0
725,725,0,-8214,0
726,726,0,-10252,0
727,727,0,-12280,0
728,728,0,-14296,0
729,729,0,-16298,0
730,730,0,-18284,0
731,731,0,-20252,0
732,732,0,-22200,0
733,733,0,-24125,0
734,734,0,-26027,0
735,735,0,-27904,0
736,736,0,-29753,0
737,737,0,-31572,0
738,738,0,-33361,0
739,739,0,-35116,0
740,740,0,-36837,0
741,741,0,-38521,0
742,742,0,-40167,0
743,743,0,-41774,0
744,744,0,-43340,0
745,745,0,-44862,0
746,746,0,-46341,0
747,747,0,-47774,0
748,748,0,-49159,0
749,749,0,-50496,0
750,750,0,-51784,0
751,751,0,-53020,0
752,752,0,-54204,0
753,753,0,-55334,0
754,754,0,-56410,0
755,755,0,-57430,0
756,756,0,-58393,0
757,757,0,-59299,0
758,758,0,-60146,0
759,759,0,-60934,0
760,760,0,-61662,0
761,761,0,-62328,0
762,762,0,-62934,0
763,763,0,-63477,0
764,764,0,-63958,0
765,765,0,-64375,0
766,766,0,-64729,0
767,767,0,-65019,0
768,768,0,-65245,0
769,769,0,-65407,0
770,770,0,-65504,0
771,771,0,-65536,0
772,772,0,-65504,0
773,773,0,-65407,0
774,774,0,-65245,0
775,775,0,-65019,0
776,776,0,-64729,0
777,777,0,-64375,0
778,778,0,-63958,0
779,779,0,-63477,0
780,780,0,-62934,0
781,781,0,-62328,0
782,782,0,-61662,0
783,783,0,-60934,0
784,784,0,-60146,0
785,785,0,-59299,0
786,786,0,-58393,0
787,787,0,-57430,0
788,788,0,-56410,0
789,789,0,-55334,0
790,790,0,-54204,0
791,791,0,-53020,0
792,792,0,-51784,0
793,793,0,-50496,0
794,794,0,-49159,0
795,795,0,-47774,0
796,796,0,-46341,0
797,797,0,-44862,0
798,798,0,-43340,0
799,799,0,-41774,0
800,800,0,-40167,0
801,801,0,-38521,0
802,802,0,-36837,0
803,803,0,-35116,0
804,804,0,-33361,0
805,805,0,-31572,0
806,806,0,-29753,0
807,807,0,-27904,0
808,808,0,-26027,0
809,809,0,-24125,0
810,810,0,-22200,0
811,811,0,-20252,0
812,812,0,-18284,0
813,813,0,-16298,0
814,814,0,-14296,0
815,815,0,-12280,0
816,816,0,-10252,0
817,817,0,-8214,0
818,818,0,-6167,0
819,819,0,-4115,0
820,820,0,-2059,0
821,821,0,0,0
822,822,0,2059,0
823,823,0,4115,0
824,824,0,6167,0
825,825,0,8214,0
826,826,0,10252,0
827,827,0,12280,0
828,828,0,14296,0
829,829,0,16298,0
830,830,0,18284,0
831,831,0,20252,0
832,832,0,22200,0
833,833,0,24125,0
834,834,0,26027,0
835,835,0,27904,0
836,836,0,29753,0
837,837,0,31572,0
838,838,0,33361,0
839,839,0,35116,0
840,840,0,36837,0
841,841,0,38521,0
842,842,0,40167,0
843,843,0,41774,0
844,844,0,43340,0
845,845,0,44862,0
846,846,0,46341,0
847,847,0,47774,0
848,848,0,49159,0
849,849,0,50496,0
850,850,0,51784,0
851,851,0,53020,0
852,852,0,54204,0
853,853,0,55334,0
854,854,0,56410,0
855,855,0,57430,0
856,856,0,58393,0
857,857,0,59299,0
858,858,0,60146,0
859,859,0,60934,0
860,860,0,61662,0
861,861,0,62328,0
862,862,0,62934,0
863,863,0,63477,0
864,864,0,63958,0
865,865,0,64375,0
866,866,0,64729,0
867,867,0,65019,0
868,868,0,65245,0
869,869,0,65407,0
870,870,0,65504,0
871,871,0,65536,0
872,872,0,65504,0
873,873,0,65407,0
874,874,0,65245,0
875,875,0,65019,0
876,876,0,64729,0
877,877,0,64375,0
878,878,0,63958,0
879,879,0,63477,0
880,880,0,62934,0
881,881,0,62328,0
882,882,0,61662,0
883,883,0,60934,0
884,884,0,60146,0
885,885,0,59299,0
886,886,0,58393,0
887,887,0,57430,0
888,888,0,56410,0
889,889,0,55334,0
890,890,0,54204,0
891,891,0,53020,0
892,892,0,51784,0
893,893,0,50496,0
894,894,0,49159,0
895,895,0,47774,0
896,896,0,46341,0
897,897,0,44862,0
